elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1755439928063.2773,-1.6703,-0.5941,1.7728
1755439928262.0286,-3.1862,-0.9443,3.3232
1755439928473.4827,-3.2559,-0.9909,3.4033
1755439928668.0027,-2.8973,-0.9442,3.0473
1755439928871.4541,-1.9943,-0.5998,2.0825
1755439929083.7173,-3.0005,-1.0323,3.1731
1755439929286.0217,-3.0719,-0.9380,3.2120
1755439929484.5671,-1.7984,-0.5614,1.8839
1755439929688.0476,-3.1938,-1.0222,3.3534
1755439929886.6096,-3.1357,-0.9546,3.2778
1755439930096.9734,-1.7478,-0.5583,1.8348
1755439930293.0764,-3.0730,-0.9773,3.2246
1755439930492.8130,-3.0682,-0.9467,3.2110
1755439930692.7378,-1.9026,-0.5609,1.9836
1755439930889.9995,-2.8858,-1.0579,3.0736
1755439931087.3884,-3.1315,-0.9089,3.2608
1755439931300.2163,-1.8202,-0.6389,1.9291
1755439931493.0461,-3.0918,-1.0064,3.2515
1755439931702.7832,-3.1956,-0.9674,3.3388
1755439931898.9805,-3.1885,-0.9847,3.3371
1755439932098.3428,-1.7440,-0.6048,1.8460
1755439932295.6809,-3.1192,-0.9958,3.2743
1755439932497.8506,-1.9215,-0.6119,2.0166
1755439932690.5520,-3.0945,-1.0213,3.2587
1755439932887.7395,-3.3087,-1.0575,3.4736
1755439933088.0439,-1.8913,-0.6465,1.9987
1755439933298.1658,-3.0800,-0.9091,3.2114
1755439933483.2764,-3.2089,-1.0482,3.3758
1755439933687.4294,-1.7187,-0.5652,1.8092
1755439933888.0010,-3.1977,-1.0168,3.3555
1755439934111.9717,-3.0594,-0.9712,3.2099
1755439934311.4329,-3.0713,-0.9411,3.2123
1755439934511.6736,-1.9576,-0.6412,2.0599
1755439934722.1719,-2.9484,-0.9384,3.0941
1755439934911.9429,-3.1690,-0.9621,3.3118
1755439935122.9502,-1.7807,-0.5809,1.8730
1755439935322.8542,-3.2803,-0.9717,3.4212
1755439935518.8044,-3.2315,-1.0830,3.4082
1755439935722.2349,-1.7899,-0.5398,1.8695
1755439935923.7944,-3.1606,-1.0595,3.3334
1755439936121.9548,-3.0202,-0.8786,3.1455
1755439936324.4299,-1.8845,-0.6105,1.9810
1755439936531.7905,-2.9727,-0.9373,3.1170
1755439936725.5266,-3.1080,-1.0327,3.2750
1755439936860.0591,-1.7102,-0.5175,1.7868
1755439937061.7793,-1.9791,-0.6705,2.0896
1755439937273.5076,-2.9962,-0.8894,3.1255
1755439937469.0115,-3.2572,-0.9657,3.3973
1755439937676.9983,-3.1719,-1.0441,3.3394
1755439937883.4587,-1.8917,-0.6580,2.0029
1755439938084.1375,-3.1541,-1.0147,3.3133
1755439938287.2778,-2.9835,-1.0108,3.1501
1755439938487.8535,-1.9022,-0.5651,1.9844
1755439938689.5361,-3.2052,-0.9402,3.3403
1755439938890.5081,-2.9458,-1.0264,3.1195
1755439939088.5005,-1.8669,-0.5650,1.9506
1755439939283.3879,-3.0792,-0.9483,3.2219
1755439939472.1980,-3.1704,-0.9981,3.3238
1755439939690.8640,-1.7113,-0.6174,1.8192
1755439939883.4561,-3.3825,-0.9970,3.5264
1755439940083.2852,-3.2016,-0.9615,3.3428
1755439940281.8586,-1.8917,-0.6048,1.9860
1755439940485.6123,-3.0954,-1.0408,3.2657
1755439940683.5786,-3.1287,-0.9999,3.2846
1755439940884.3894,-1.8323,-0.5573,1.9152
1755439941087.1089,-3.1625,-0.9802,3.3110
1755439941283.5728,-1.8843,-0.6685,1.9993
1755439941477.9512,-3.1748,-0.9876,3.3249
1755439941678.1709,-3.0955,-0.9729,3.2448
1755439941883.8489,-3.2436,-1.0194,3.4000
1755439942096.3572,-1.8771,-0.6494,1.9862
1755439942291.8274,-3.0850,-1.0080,3.2455
1755439942490.5269,-1.8453,-0.5668,1.9304
1755439942690.0798,-2.9835,-0.9495,3.1310
1755439942903.3213,-3.0684,-0.9292,3.2060
1755439943100.6775,-3.4235,-1.0608,3.5841
1755439943298.6709,-1.7654,-0.5999,1.8645
1755439943498.6311,-3.1433,-0.9187,3.2748
1755439944095.2896,-8.4522,-2.5932,8.8411
1755439944302.0874,-3.0944,-0.9248,3.2296
1755439944503.1494,-1.8811,-0.6117,1.9780
1755439944704.4951,-3.1437,-0.9645,3.2883
1755439945299.5293,-8.0647,-2.4890,8.4401
1755439945498.1814,-3.3104,-1.0005,3.4582
1755439945697.9353,-1.6967,-0.5639,1.7879
1755439945902.1907,-3.3305,-1.0404,3.4893
1755439946489.2932,-7.9208,-2.5259,8.3138
1755439946673.6226,-3.2939,-1.0409,3.4545
1755439946875.9446,-1.6924,-0.4863,1.7609
1755439947073.8103,-3.1937,-0.9251,3.3250
1755439947457.5486,-5.2004,-1.5500,5.4265
1755439947654.4033,-3.1022,-1.0091,3.2622
1755439947863.0286,-2.9716,-0.9186,3.1103
1755439948050.6370,-1.8825,-0.6510,1.9919
1755439948268.9375,-3.2234,-1.0588,3.3929
1755439948461.9744,-1.7086,-0.5553,1.7965
1755439948656.1973,-3.0775,-0.9699,3.2267
1755439948850.4731,-3.0896,-0.9901,3.2444
1755439949059.3743,-3.0968,-0.9497,3.2392
1755439949258.1316,-1.8503,-0.5905,1.9423
1755439949451.1670,-3.3346,-1.0993,3.5111
1755439949661.7798,-1.6863,-0.4962,1.7578
1755439950624.9050,-14.5644,-4.5136,15.2478
1755439950820.3970,-1.9128,-0.5854,2.0003
1755439951020.2690,-3.4764,-1.1182,3.6518
1755439951222.0681,-1.6311,-0.5199,1.7119
1755439951420.9272,-3.5560,-1.0657,3.7122
1755439951621.6101,-2.7191,-0.9262,2.8726
1755439952012.5217,-4.9931,-1.4957,5.2123
1755439953161.6804,-16.3379,-4.9983,17.0854
1755439953947.8550,-9.9410,-3.0631,10.4022
1755439954144.6804,-1.8691,-0.6449,1.9773
1755439954341.8704,-3.2786,-1.0269,3.4357
1755439954545.4973,-3.5930,-1.1595,3.7755
1755439955150.3911,-7.3813,-2.2891,7.7281
1755439955348.2480,-1.7251,-0.5679,1.8162
1755439955549.9978,-3.6680,-1.0857,3.8253
1755439955747.8125,-3.2947,-1.0645,3.4625
1755439955958.0181,-2.7031,-0.8966,2.8479
1755439956350.4158,-5.3965,-1.6379,5.6396
1755439956547.9561,-1.8747,-0.6221,1.9752
1755439956751.6494,-4.4858,-1.3920,4.6969
1755439957154.3069,-4.9889,-1.5786,5.2327
1755439957533.1738,-5.3642,-1.6283,5.6059
1755439957935.8003,-5.0198,-1.6285,5.2774
1755439958144.3682,-2.9889,-0.9074,3.1236
1755439958351.9709,-1.9720,-0.6269,2.0693
1755439958550.4238,-3.3297,-1.0938,3.5048
1755439958747.6104,-3.0176,-0.9413,3.1610
1755439959134.9780,-4.9092,-1.5131,5.1371
1755439959346.8386,-3.1181,-0.9256,3.2526
1755439959542.8809,-1.6881,-0.6390,1.8050
1755439959738.9609,-3.4951,-1.0499,3.6494
1755439959936.0068,-3.3961,-1.0208,3.5462
1755439960706.7402,-10.0529,-3.1093,10.5228
1755439960902.1958,-3.0879,-0.9940,3.2440
1755439961109.8479,-1.9100,-0.6464,2.0164
1755439961306.3259,-2.8009,-0.9248,2.9496
1755439961516.0723,-3.7169,-1.1734,3.8977
1755439961711.7678,-1.4687,-0.5087,1.5543
1755439961911.5183,-3.6958,-1.1654,3.8751
1755439962111.8599,-3.0834,-1.0246,3.2492
1755439962312.1758,-2.9997,-0.9551,3.1481
1755439962516.3667,-1.5609,-0.4671,1.6293
1755439962713.4272,-3.4935,-1.0891,3.6593
1755439962898.0969,-1.5606,-0.5348,1.6497
1755439963118.1189,-3.6295,-1.1542,3.8086
1755439963317.6421,-2.9787,-0.9161,3.1164
1755439963514.1653,-3.2130,-0.9595,3.3532
1755439963720.1462,-1.5036,-0.5240,1.5923
1755439963927.1589,-3.5489,-1.1135,3.7195
1755439964124.5630,-3.3282,-1.0414,3.4873
1755439964326.6499,-1.9811,-0.6698,2.0913
1755439964511.7476,-3.1963,-1.0180,3.3545
1755439964729.9409,-3.1857,-1.0120,3.3426
1755439964927.5906,-1.7353,-0.5923,1.8336
1755439965115.5442,-3.1519,-1.0282,3.3154
1755439965317.6577,-3.2538,-1.0387,3.4156
1755439965528.0249,-1.6715,-0.5213,1.7510
1755439965728.3674,-3.3734,-1.0927,3.5460
1755439965926.8293,-3.1888,-0.9470,3.3265
1755439966311.3989,-4.9007,-1.5515,5.1405
1755439966528.8904,-3.1124,-0.9346,3.2497
1755439966724.4905,-1.8793,-0.5991,1.9725
1755439966930.0876,-3.1754,-1.0235,3.3363
1755439967126.2500,-3.1644,-0.9851,3.3142
1755439967514.7324,-4.9250,-1.5416,5.1607
1755439967711.6160,-2.8760,-0.8620,3.0024
1755439967911.6978,-1.7725,-0.6083,1.8740
1755439968120.9202,-3.0358,-0.9210,3.1724
1755439968330.9946,-3.0326,-0.9933,3.1911
1755439968469.8320,-2.0955,-0.6658,2.1987
1755439968671.8289,-1.8406,-0.6286,1.9449
1755439968871.4707,-3.0313,-0.9936,3.1900
1755439969075.5166,-3.0769,-1.0156,3.2402
1755439969265.2644,-3.2679,-0.9804,3.4118
1755439969464.0879,-1.6326,-0.5524,1.7236
1755439969664.4177,-3.0952,-0.9837,3.2478
1755439969877.9756,-1.9239,-0.6214,2.0218
1755439970065.1033,-3.1755,-1.0612,3.3481
1755439970268.4912,-3.3396,-1.0407,3.4980
1755439970465.4895,-3.0921,-0.9266,3.2279
1755439970683.1926,-1.7844,-0.6898,1.9131
1755439970880.6084,-3.0339,-0.9669,3.1842
1755439971083.5371,-2.8986,-0.8773,3.0285
1755439971280.2056,-1.7523,-0.5857,1.8476
1755439971475.0464,-3.0469,-0.9147,3.1813
1755439971666.5769,-1.8577,-0.6366,1.9638
1755439971866.8394,-2.9055,-0.9457,3.0555
